"","Count","Words"
"of the",220627,"of the"
"in the",207579,"in the"
"to the",108574,"to the"
"on the",98546,"on the"
"for the",97713,"for the"
"to be",80754,"to be"
"at the",71169,"at the"
"and the",64877,"and the"
"in a",60554,"in a"
"with the",53860,"with the"
"is a",50813,"is a"
"it was",49259,"it was"
"for a",46531,"for a"
"from the",44301,"from the"
"i was",43999,"i was"
"i have",43598,"i have"
"it is",42568,"it is"
"and i",42358,"and i"
"with a",41535,"with a"
"of a",40470,"of a"
"will be",39724,"will be"
"i am",38626,"i am"
"going to",38503,"going to"
"one of",36821,"one of"
"is the",36758,"is the"
"if you",35734,"if you"
"have a",35731,"have a"
"as a",35339,"as a"
"to get",34794,"to get"
"want to",31570,"want to"
"that the",31512,"that the"
"by the",31480,"by the"
"this is",30452,"this is"
"have to",30363,"have to"
"and a",29641,"and a"
"to do",29344,"to do"
"the first",28969,"the first"
"was a",28833,"was a"
"i think",28454,"i think"
"out of",28439,"out of"
"to a",28284,"to a"
"that i",28258,"that i"
"i don't",27527,"i don't"
"on a",26889,"on a"
"to see",25999,"to see"
"but i",25811,"but i"
"all the",25521,"all the"
"the same",24788,"the same"
"have been",24748,"have been"
"to make",24258,"to make"
"you can",24092,"you can"
"a lot",23962,"a lot"
"he was",23510,"he was"
"i love",23397,"i love"
"be a",22955,"be a"
"of my",22770,"of my"
"has been",22540,"has been"
"a few",22452,"a few"
"as the",21973,"as the"
"would be",21912,"would be"
"need to",21746,"need to"
"more than",21404,"more than"
"when i",21341,"when i"
"about the",21288,"about the"
"in my",21103,"in my"
"you are",21063,"you are"
"i had",20883,"i had"
"a little",20792,"a little"
"you have",20043,"you have"
"to have",19969,"to have"
"to go",19945,"to go"
"i can",19904,"i can"
"into the",19870,"into the"
"they are",19645,"they are"
"he said",19494,"he said"
"thanks for",19191,"thanks for"
"a great",19155,"a great"
"the best",19031,"the best"
"had a",18982,"had a"
"i know",18927,"i know"
"there is",18898,"there is"
"we are",18886,"we are"
"a good",18819,"a good"
"thank you",17765,"thank you"
"is not",17733,"is not"
"that is",17715,"that is"
"i just",17411,"i just"
"there are",17337,"there are"
"so i",16982,"so i"
"over the",16967,"over the"
"the most",16817,"the most"
"we have",16581,"we have"
"the world",16559,"the world"
"a new",16514,"a new"
"part of",16480,"part of"
"the new",16469,"the new"
"i will",15950,"i will"
"lot of",15915,"lot of"
"like a",15836,"like a"
"but the",15739,"but the"
"was the",15561,"was the"
"trying to",15447,"trying to"
"i would",15389,"i would"
"so much",15290,"so much"
"and then",15249,"and then"
"do you",15158,"do you"
"at least",15136,"at least"
"all of",15081,"all of"
"as well",14965,"as well"
"some of",14809,"some of"
"on my",14570,"on my"
"able to",14546,"able to"
"the way",14429,"the way"
"back to",14396,"back to"
"of his",14261,"of his"
"can be",14111,"can be"
"at a",14077,"at a"
"the last",13848,"the last"
"if i",13746,"if i"
"the other",13676,"the other"
"you know",13627,"you know"
"is that",13623,"is that"
"it's a",13610,"it's a"
"to me",13544,"to me"
"in this",13473,"in this"
"the time",13401,"the time"
"for me",13363,"for me"
"up to",13233,"up to"
"the next",13155,"the next"
"and it",13025,"and it"
"to take",12989,"to take"
"that he",12956,"that he"
"i want",12920,"i want"
"when you",12856,"when you"
"are you",12780,"are you"
"time to",12543,"time to"
"of this",12499,"of this"
"according to",12445,"according to"
"go to",12238,"go to"
"way to",12238,"way to"
"said the",12206,"said the"
"he is",12160,"he is"
"kind of",12151,"kind of"
"they were",12036,"they were"
"that was",11993,"that was"
"the end",11943,"the end"
"i can't",11931,"i can't"
"had to",11925,"had to"
"i could",11783,"i could"
"in his",11778,"in his"
"to my",11686,"to my"
"what i",11624,"what i"
"but it",11611,"but it"
"the only",11603,"the only"
"when the",11542,"when the"
"right now",11383,"right now"
"be the",11381,"be the"
"should be",11368,"should be"
"as i",11352,"as i"
"has a",11318,"has a"
"of course",11262,"of course"
"this year",11251,"this year"
"from a",11247,"from a"
"a bit",11238,"a bit"
"to say",11176,"to say"
"me to",11149,"me to"
"the day",11091,"the day"
"i'm not",11089,"i'm not"
"and that",10951,"and that"
"that it",10820,"that it"
"of our",10749,"of our"
"that you",10744,"that you"
"through the",10712,"through the"
"would have",10665,"would have"
"i got",10450,"i got"
"i do",10419,"i do"
"she was",10388,"she was"
"which is",10364,"which is"
"with my",10317,"with my"
"that we",10265,"that we"
"wanted to",10221,"wanted to"
"get a",10203,"get a"
"how to",10188,"how to"
"like the",10162,"like the"
"after the",10146,"after the"
"into a",9888,"into a"
"i didn't",9843,"i didn't"
"it to",9831,"it to"
"not a",9767,"not a"
"new york",9758,"new york"
"and we",9742,"and we"
"there was",9733,"there was"
"like to",9726,"like to"
"of them",9719,"of them"
"are the",9715,"are the"
"i need",9699,"i need"
"have the",9689,"have the"
"it would",9675,"it would"
"to work",9654,"to work"
"said he",9611,"said he"
"of their",9577,"of their"
"is to",9502,"is to"
"the state",9501,"the state"
"the city",9418,"the city"
"end of",9390,"end of"
"during the",9377,"during the"
"up the",9328,"up the"
"last year",9320,"last year"
"to find",9252,"to find"
"we were",9251,"we were"
"for you",9229,"for you"
"by a",9217,"by a"
"out the",9153,"out the"
"such as",9150,"such as"
"this week",9146,"this week"
"i hope",9145,"i hope"
"that they",9141,"that they"
"i thought",9119,"i thought"
"to keep",8999,"to keep"
"we can",8996,"we can"
"it will",8983,"it will"
